condition
D-vfb-10-cb0
D-vfb-0.1-cb0
D-fb-10-cb0
D-fb-0.1-cb0
D-nfb-10-cb0
D-vfb-10-cb1
D-vfb-0.1-cb1
D-fb-10-cb1
D-fb-0.1-cb1
D-nfb-10-cb1
